customer_id,first_name,last_name,email,phone,loyalty_points
1,Emily,Johnson,emily.johnson@example.com,555-123-4567,100
2,Michael,Smith,michael.smith@example.com,555-234-5678,150
3,Sophia,Williams,sophia.williams@example.com,555-345-6789,200
4,Jacob,Brown,jacob.brown@example.com,555-456-7890,180
5,Olivia,Jones,olivia.jones@example.com,555-567-8901,220
6,Ethan,Garcia,ethan.garcia@example.com,555-678-9012,190
7,Emma,Miller,emma.miller@example.com,555-789-0123,210
8,Alexander,Davis,alexander.davis@example.com,555-890-1234,170
9,Ava,Rodriguez,ava.rodriguez@example.com,555-901-2345,240
10,Daniel,Martinez,daniel.martinez@example.com,555-012-3456,130
11,enily,juhnson,enily.juhnson1@example.com,555-658-2635,134
12,emyly,johnson,emyly.johnson2@example.com,555-934-5543,196
13,emimy,johoson,emimy.johoson3@example.com,555-795-9418,132
14,emili,johnzon,emili.johnzon4@example.com,555-692-5518,168
15,imily,johnsun,imily.johnsun5@example.com,555-374-5110,143
16,enily,johnson,enily.johnson6@example.com,555-827-0678,185
17,emyly,kohnson,emyly.kohnson7@example.com,555-873-6428,159
18,emily,juhnson,emily.juhnson8@example.com,555-120-6344,181
19,emili,joinson,emili.joinson9@example.com,555-782-1195,124
20,imily,johnson,imily.johnson10@example.com,555-876-3405,107
21,enily,johnzon,enily.johnzon11@example.com,555-915-4650,157
22,emyly,johnsun,emyly.johnsun12@example.com,555-431-4861,113
23,emimy,johnsoo,emimy.johnsoo13@example.com,555-326-1063,155
24,emili,johnson,emili.johnson14@example.com,555-081-5259,138
25,imily,juhnson,imily.juhnson15@example.com,555-889-0933,179
26,enily,johnson,enily.johnson16@example.com,555-142-1017,108
27,emyly,johoson,emyly.johoson17@example.com,555-784-3918,160
28,emily,johnzon,emily.johnzon18@example.com,555-833-6512,175
29,emili,johnsun,emili.johnsun19@example.com,555-329-2401,121
30,imily,johnson,imily.johnson20@example.com,555-653-6322,120
31,enily,kohnson,enily.kohnson21@example.com,555-506-4140,154
32,emyly,juhnson,emyly.juhnson22@example.com,555-219-7465,107
33,emimy,joinson,emimy.joinson23@example.com,555-947-0494,140
34,emili,johnson,emili.johnson24@example.com,555-622-6417,134
35,imily,johnzon,imily.johnzon25@example.com,555-256-3055,175
36,enily,johnsun,enily.johnsun26@example.com,555-186-5663,127
37,emyly,johnsoo,emyly.johnsoo27@example.com,555-954-3050,166
38,emily,johnson,emily.johnson28@example.com,555-048-0456,108
39,emili,juhnson,emili.juhnson29@example.com,555-410-7902,172
40,imily,johnson,imily.johnson30@example.com,555-996-5555,178
41,enily,johoson,enily.johoson31@example.com,555-680-1656,178
42,emyly,johnzon,emyly.johnzon32@example.com,555-117-3268,128
43,emimy,johnsun,emimy.johnsun33@example.com,555-171-5488,122
44,emili,johnson,emili.johnson34@example.com,555-990-9496,177
45,imily,kohnson,imily.kohnson35@example.com,555-679-4362,114
46,enily,juhnson,enily.juhnson36@example.com,555-340-3375,166
47,emyly,joinson,emyly.joinson37@example.com,555-694-2943,138
48,emily,johnson,emily.johnson38@example.com,555-430-6908,116
49,emili,johnzon,emili.johnzon39@example.com,555-711-9525,162
50,imily,johnsun,imily.johnsun40@example.com,555-947-9020,166
51,enily,johnsoo,enily.johnsoo41@example.com,555-547-4173,144
52,emyly,johnson,emyly.johnson42@example.com,555-801-8653,192
53,emimy,juhnson,emimy.juhnson43@example.com,555-437-3648,151
54,emili,johnson,emili.johnson44@example.com,555-055-3540,160
55,imily,johoson,imily.johoson45@example.com,555-772-1555,146
56,enily,johnzon,enily.johnzon46@example.com,555-825-1077,106
57,emyly,johnsun,emyly.johnsun47@example.com,555-595-0876,165
58,emily,johnson,emily.johnson48@example.com,555-841-0321,163
59,emili,kohnson,emili.kohnson49@example.com,555-901-2277,143
60,mychael,snith,mychael.snith1@example.com,555-585-0198,184
61,michael,smyth,michael.smyth2@example.com,555-577-7544,153
62,miciael,smiuh,miciael.smiuh3@example.com,555-660-5321,217
63,micheel,smith,micheel.smith4@example.com,555-022-2743,180
64,michail,zmith,michail.zmith5@example.com,555-196-7418,161
65,michael,snith,michael.snith6@example.com,555-524-9858,185
66,nichael,smyth,nichael.smyth7@example.com,555-439-1122,174
67,mychael,smith,mychael.smith8@example.com,555-980-7193,215
68,midhael,smiti,midhael.smiti9@example.com,555-989-8466,176
69,michael,zmith,michael.zmith10@example.com,555-916-6189,184
70,micheel,snith,micheel.snith11@example.com,555-250-7577,153
71,michail,smyth,michail.smyth12@example.com,555-120-7838,205
72,michaem,smiuh,michaem.smiuh13@example.com,555-284-0727,200
73,nichael,smith,nichael.smith14@example.com,555-230-7969,179
74,mychael,zmith,mychael.zmith15@example.com,555-460-8996,161
75,michael,snith,michael.snith16@example.com,555-159-0697,237
76,miciael,smyth,miciael.smyth17@example.com,555-958-1435,234
77,micheel,smith,micheel.smith18@example.com,555-438-5642,200
78,michail,smiti,michail.smiti19@example.com,555-852-0050,196
79,michael,zmith,michael.zmith20@example.com,555-747-3577,204
80,nichael,snith,nichael.snith21@example.com,555-372-2313,154
81,mychael,smyth,mychael.smyth22@example.com,555-201-0106,195
82,midhael,smiuh,midhael.smiuh23@example.com,555-663-1770,239
83,michael,smith,michael.smith24@example.com,555-481-7203,165
84,micheel,zmith,micheel.zmith25@example.com,555-136-0139,215
85,michail,snith,michail.snith26@example.com,555-306-8081,162
86,michaem,smyth,michaem.smyth27@example.com,555-590-7184,232
87,nichael,smith,nichael.smith28@example.com,555-465-0922,156
88,mychael,smiti,mychael.smiti29@example.com,555-428-6747,158
89,michael,zmith,michael.zmith30@example.com,555-831-7937,197
90,miciael,snith,miciael.snith31@example.com,555-962-4596,191
91,micheel,smyth,micheel.smyth32@example.com,555-037-4400,158
92,michail,smiuh,michail.smiuh33@example.com,555-897-8925,226
93,michael,smith,michael.smith34@example.com,555-896-3378,150
94,nichael,zmith,nichael.zmith35@example.com,555-183-9742,182
95,mychael,snith,mychael.snith36@example.com,555-998-4236,162
96,midhael,smyth,midhael.smyth37@example.com,555-462-7560,189
97,michael,smith,michael.smith38@example.com,555-619-6694,198
98,micheel,smiti,micheel.smiti39@example.com,555-839-8773,236
99,michail,zmith,michail.zmith40@example.com,555-230-9272,244
100,michaem,snith,michaem.snith41@example.com,555-290-9957,160
101,nichael,smyth,nichael.smyth42@example.com,555-076-5884,221
102,mychael,smiuh,mychael.smiuh43@example.com,555-390-4225,244
103,michael,smith,michael.smith44@example.com,555-167-1621,180
104,miciael,zmith,miciael.zmith45@example.com,555-998-5793,240
105,micheel,snith,micheel.snith46@example.com,555-927-6243,183
106,michail,smyth,michail.smyth47@example.com,555-615-6288,179
107,michael,smith,michael.smith48@example.com,555-377-7046,189
108,nichael,smiti,nichael.smiti49@example.com,555-688-9647,225
109,suphia,wylliams,suphia.wylliams1@example.com,555-413-3083,230
110,sophia,williams,sophia.williams2@example.com,555-787-8814,204
111,sopiia,wilmiams,sopiia.wilmiams3@example.com,555-373-8753,225
112,sophya,willyams,sophya.willyams4@example.com,555-412-2369,294
113,sophie,williems,sophie.williems5@example.com,555-716-1790,274
114,zophia,willians,zophia.willians6@example.com,555-633-9556,287
115,suphia,williamz,suphia.williamz7@example.com,555-455-0123,269
116,sophia,williams,sophia.williams8@example.com,555-789-2188,272
117,sopiia,wylliams,sopiia.wylliams9@example.com,555-792-9486,236
118,sophya,williams,sophya.williams10@example.com,555-385-8953,232
119,sophie,wilmiams,sophie.wilmiams11@example.com,555-744-7463,249
120,zophia,willyams,zophia.willyams12@example.com,555-416-9712,260
